p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_symbol
0	1.45590259903919	0.718	0.268	0	AACS
0	0.351566326107736	0.645	0.301	0	AAGAB
0	0.893059763965429	0.998	0.821	0	AAK1
0	0.827866286047098	0.608	0.157	0	AASDHPPT
0	-4.74296397182939	0.161	0.56	0	AASS
0	0.322189082275168	0.867	0.58	0	ABAT
0	2.89529160695523	0.811	0.156	0	ABCA10
0	0.376501377207894	0.859	0.413	0	ABCA3
0	1.6879668383216	0.977	0.388	0	ABCA5
0	2.07076570812962	0.648	0.09	0	ABCA6
0	0.799600004362281	0.472	0.174	0	ABCA7
0	-7.11781816368813	0.135	0.454	0	ABCA8
0	2.28308545628299	0.686	0.145	0	ABCA9
0	0.434029896377541	0.421	0.115	0	ABCB6
0	0.851003464092573	0.757	0.407	0	ABCB9
0	0.705732055733676	0.944	0.528	0	ABCC5
0	2.11634187748574	0.81	0.177	0	ABCC8
0	0.681364543025719	0.364	0.067	0	ABHD13
0	1.41418581205448	0.397	0.047	0	ABHD14A
0	0.307644889936447	0.525	0.145	0	ABHD5
0	0.769507328304352	0.963	0.627	0	ABI2
0	-0.536628871531699	0.971	0.743	0	ABLIM1
0	2.37713299679755	0.928	0.357	0	ABLIM2
0	1.84579827880989	0.379	0.065	0	ABRACL
0	0.35925494111631	0.79	0.302	0	ACADM
0	-0.281320709099861	0.693	0.307	0	ACADSB
0	-0.482598798484965	0.831	0.391	0	ACADVL
0	0.421285243857812	0.743	0.403	0	ACAT1
0	0.976414130927361	0.345	0.048	0	ACD
0	1.08018590983101	0.832	0.427	0	ACOT7
0	0.459628757228708	0.594	0.169	0	ACP1
0	0.312568501812482	0.492	0.203	0	ACRC
0	-0.509049261399997	0.785	0.454	0	ACSL4
0	-0.301210115908329	0.829	0.356	0	ACSL6
0	-6.18550893517978	0.059	0.421	0	ACSS1
0	3.54305001106102	0.644	0.122	0	ACTL6B
0	2.98993474984017	0.822	0.185	0	ACTN1
0	0.417353134993835	0.782	0.411	0	ACTR10
0	0.644661092726825	0.939	0.494	0	ACTR2
0	0.887153157355236	0.895	0.618	0	ACTR3B
0	1.05819952235404	0.554	0.193	0	ACTR6
0	1.03037254666619	0.604	0.173	0	ACVR1B
0	1.03648376125565	0.606	0.188	0	ACVR2A
0	2.80798122448761	0.721	0.116	0	ADAM11
0	1.58639918704976	0.981	0.544	0	ADAM22
0	3.00262875201008	0.968	0.38	0	ADAM23
0	0.953716154509989	0.605	0.278	0	ADAM32
0	2.51486944557876	0.793	0.336	0	ADAMTS19
0	3.13473680003786	0.538	0.265	0	ADAMTS3
0	-4.11996738438512	0.041	0.172	0	ADAMTS4
0	1.84522497018963	0.407	0.049	0	ADAMTS7P1
0	1.62410949115864	0.737	0.193	0	ADARB1
0	2.62215535759733	0.897	0.262	0	ADCY1
0	0.575976727522482	0.982	0.668	0	ADCY2
0	0.558453962079727	0.727	0.296	0	ADCY3
0	0.539147326144549	0.599	0.185	0	ADCY6
0	0.815871640580822	0.904	0.7	0	ADCY9
0	3.3071473117792	0.763	0.123	0	ADD2
0	1.56106359997185	0.617	0.113	0	ADGRA1
0	-0.479149279709053	0.724	0.293	0	ADGRB1
0	1.08729252887405	0.685	0.147	0	ADGRB2
0	1.21457257074333	1	0.902	0	ADGRB3
0	-4.52953482571103	0.139	0.447	0	ADGRG1
0	0.44584338367188	0.909	0.494	0	ADGRL1
0	5.01197115321817	0.965	0.627	0	ADGRL2
0	0.642780978757667	0.939	0.61	0	ADRBK2
0	1.16158122810066	0.365	0.086	0	AEN
0	0.5236091067033	0.784	0.229	0	AES
0	0.508308787856629	0.591	0.285	0	AFAP1
0	2.90686383800237	0.629	0.258	0	AFF2
0	2.35691754764739	0.987	0.643	0	AFF3
0	2.35328029960094	0.6	0.036	0	AGAP2
