p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_symbol
0	6.09268782196628	0.915	0.049	0	A230006K03Rik
0	2.17175526872184	0.975	0.204	0	A230050P20Rik
0	1.82876688860519	0.973	0.301	0	A230057D06Rik
0	3.00196218342336	0.917	0.148	0	A230073K19Rik
0	0.825494590941175	0.944	0.333	0	A330023F24Rik
0	3.80814746562977	0.93	0.111	0	A330076H08Rik
0	3.40546846386276	0.723	0.037	0	A330102I10Rik
0	0.555122407684657	0.875	0.228	0	A430005L14Rik
0	2.45681300857176	0.825	0.107	0	A730017C20Rik
0	3.94283848538016	0.937	0.102	0	A830010M20Rik
0	6.14852078726113	0.937	0.485	0	A830018L16Rik
0	5.44538224715556	0.989	0.054	0	A930011O12Rik
0	1.13515030959527	0.993	0.466	0	AI413582
0	5.16608772459657	0.955	0.081	0	AI593442
0	1.2498420030787	0.927	0.268	0	AI837181
0	0.978935903992014	0.83	0.159	0	AK010878
0	-3.93049949950698	0.251	0.348	0	AW047730
0	0.671380202277184	0.835	0.193	0	AW209491
0	1.71883524729814	0.996	0.448	0	Aak1
0	0.518207418703428	0.995	0.67	0	Aamp
0	1.43817766775454	0.94	0.3	0	Aars
0	1.39032150965082	0.977	0.358	0	Aarsd1
0	0.317634585791957	0.945	0.394	0	Abce1
0	1.31683291087103	0.904	0.228	0	Abcf2
0	0.542028856097164	0.863	0.231	0	Abcg1
0	1.23154546634207	0.995	0.536	0	Abhd12
0	0.793630556884169	0.964	0.405	0	Abhd17a
0	2.13911974679291	0.981	0.263	0	Abhd8
0	1.36918718135619	0.998	0.631	0	Abi2
0	1.77406505371044	0.877	0.176	0	Ablim2
0	0.308235862385536	0.986	0.654	0	Acat1
0	-3.52573897950238	0.454	0.378	0	Acat3
0	0.991375092550186	0.98	0.396	0	Acbd6
0	0.862785320494091	0.923	0.237	0	Acd
0	4.65786276112214	0.819	0.076	0	Ache
0	0.530699863741074	0.989	0.651	0	Aco2
0	1.08113948757621	0.995	0.569	0	Acot13
0	3.15487330157491	0.999	0.402	0	Acot7
0	0.924265237122414	0.979	0.358	0	Acp1
0	-7.32094664787655	0.307	0.613	0	Acsbg1
0	1.1366754643312	0.936	0.333	0	Acsl4
0	4.67384169134876	0.814	0.185	0	Acta1
0	6.53049509176669	0.986	0.079	0	Actl6b
0	0.41982198947604	0.998	0.704	0	Actr10
0	0.472814743041127	0.967	0.482	0	Actr1a
0	1.6766540767561	0.986	0.411	0	Actr1b
0	0.740552737774299	0.999	0.834	0	Actr2
0	-0.0540629107602539	0.965	0.477	0	Actr3
0	1.23480620000945	0.926	0.301	0	Actr3b
0	0.695556211715648	0.913	0.273	0	Actr6
0	0.742632431589639	0.905	0.258	0	Actr8
0	1.37899412415316	0.954	0.274	0	Acyp1
0	2.10848414049562	0.994	0.538	0	Adam22
0	0.829495607215441	0.952	0.289	0	Adam23
0	2.80189634398049	0.949	0.164	0	Adap1
0	1.49213741958294	0.997	0.423	0	Adar
0	3.25455212584735	0.938	0.282	0	Adarb1
0	3.82723072606597	0.943	0.134	0	Adcy1
0	3.16415876215654	0.8	0.087	0	Adcy8
0	4.92470993795003	0.943	0.37	0	Add2
0	0.0184387252477398	0.911	0.29	0	Ado
0	0.613090133230611	0.986	0.517	0	Adprh
0	1.91977117461945	0.731	0.054	0	Adrb1
0	0.332635141599377	0.983	0.501	0	Adrm1
0	1.18142955990811	0.958	0.347	0	Adss
0	0.900697565163016	0.999	0.811	0	Aes
0	2.05324005164725	0.906	0.252	0	Aff3
0	1.80977513368606	0.739	0.082	0	Agap2
0	1.67900486175919	0.958	0.289	0	Agap3
0	3.33315783829496	0.968	0.56	0	Agbl4
0	0.630693987356322	0.928	0.274	0	Agk
0	-6.35192327499084	0.209	0.501	0	Agmo
0	0.168891980006448	0.891	0.277	0	Agpat4
0	1.54708612940943	0.975	0.287	0	Agtpbp1
0	2.72525594769875	0.999	0.421	0	Ahi1
0	1.07492290002745	0.994	0.499	0	Ahsa1
0	1.10583603438064	0.994	0.467	0	Aig1
0	0.813873428968234	0.979	0.399	0	Aimp1
0	0.995193093629321	0.938	0.276	0	Aimp2
0	0.733373851962964	0.983	0.445	0	Aip
0	1.51050278747854	0.983	0.289	0	Ak1
0	4.84989417677386	0.843	0.187	0	Ak5
0	0.944089568379705	0.917	0.255	0	Ak6
0	0.720424088926371	0.976	0.412	0	Akap11
0	3.9754609973724	0.962	0.257	0	Akap5
0	0.606155346950599	0.997	0.849	0	Akap6
0	0.6198505110718	0.95	0.435	0	Akirin2
0	0.916485859099774	0.999	0.78	0	Akr1a1
0	1.14514843989098	0.987	0.494	0	Aktip
0	1.99260708781287	1	0.979	0	Aldoa
0	1.4965959790321	0.966	0.331	0	Alg2
0	0.466423966535666	0.975	0.408	0	Alkbh6
0	0.370906513430207	0.932	0.364	0	Amd1
0	1.73850407494482	0.811	0.112	0	Amigo1
0	2.74060451679752	0.99	0.279	0	Amph
0	0.368291416953361	0.979	0.588	0	Anapc5
0	1.17867161509483	0.971	0.465	0	Ank
0	-0.0518271702087301	1	0.865	0	Ank2
0	2.45457039003905	1	0.487	0	Ank3
0	1.14829209794759	0.906	0.236	0	Ankmy2
0	0.402112910825766	0.947	0.38	0	Ankra2
0	0.670692024643302	0.999	0.707	0	Ankrd12
0	1.98132180217958	0.849	0.141	0	Ankrd13d
0	1.26562949074234	0.881	0.208	0	Ankrd24
0	0.758692746631151	0.849	0.213	0	Ankrd32
0	2.83446663873184	0.737	0.044	0	Ankrd34a
0	4.45693297929357	0.865	0.095	0	Ankrd45
0	1.56450335160497	0.983	0.37	0	Ankrd46
0	2.53797288572757	1	0.856	0	Anks1b
0	5.54410923821235	0.754	0.199	0	Ano3
0	0.573702714262472	0.995	0.599	0	Anp32a
0	0.679400898995586	0.984	0.509	0	Anp32e
0	-3.22593003933494	0.649	0.661	0	Anxa5
0	1.54823313369401	0.948	0.417	0	Aox2
0	1.24153613051762	0.91	0.271	0	Ap1ar
0	1.30462545654298	0.929	0.31	0	Ap1b1
0	2.23287225409565	0.993	0.363	0	Ap1s1
0	1.22621189404846	0.932	0.339	0	Ap2a1
0	1.03785141833235	0.985	0.454	0	Ap2a2
0	0.488809154794273	0.994	0.608	0	Ap2b1
0	1.94584609621801	0.999	0.739	0	Ap2m1
0	1.54066744156093	0.999	0.625	0	Ap2s1
0	2.99133762350089	0.959	0.135	0	Ap3b2
0	0.617747111834419	0.961	0.428	0	Ap3d1
0	2.57892343521977	0.91	0.15	0	Ap3m2
0	0.287209995794032	0.981	0.491	0	Ap3s1
0	0.849898355284297	0.99	0.551	0	Ap4s1
0	0.703409840674236	0.948	0.399	0	Apba1
0	0.825104667445327	0.98	0.523	0	Apba2
0	2.74609943678172	0.992	0.327	0	Apbb1
0	0.976715572245564	0.821	0.169	0	Apbb3
0	1.63164355577305	0.891	0.15	0	Apex1
0	1.02549244733445	1	0.643	0	Aplp1
0	0.534624015714405	1	0.865	0	Aplp2
0	-9.44740269178238	0.194	0.434	0	Apod
0	-8.819208424133	0.311	0.902	0	Apoe
0	0.632911770035991	0.984	0.485	0	Apoo
0	1.08829673192672	0.967	0.379	0	Apoo.ps
0	1.36523658743386	1	0.652	0	App
0	0.720162940561267	0.983	0.46	0	Appl1
0	-4.66097566454762	0.4	0.658	0	Appl2
0	1.19657544862961	0.944	0.239	0	Aprt
0	-7.33835791327364	0.008	0.396	0	Aqp4
0	1.65588886155635	0.998	0.74	0	Araf
0	0.82711317523351	0.999	0.801	0	Arf1
0	2.80595992907469	0.989	0.301	0	Arf3
0	1.14397126894753	0.997	0.642	0	Arf5
0	1.00803436714954	0.93	0.311	0	Arfgap1
0	1.32914588665971	0.912	0.311	0	Arfip2
0	2.20565045622832	0.844	0.125	0	Arhgap20
0	2.79715254741341	0.928	0.143	0	Arhgap44
0	5.13876952298718	0.979	0.096	0	Arhgdig
0	1.3678748337122	0.91	0.45	0	Arhgef3
0	2.61403286511631	0.921	0.191	0	Arhgef4
0	1.05053762702166	0.922	0.282	0	Arhgef7
0	1.55215197626108	0.983	0.347	0	Arhgef9
0	1.00786438238875	0.982	0.562	0	Arl1
0	1.12015684793945	0.837	0.178	0	Arl16
0	0.707953778649449	0.985	0.442	0	Arl2
0	0.376895263918998	0.998	0.707	0	Arl3
0	0.726837456610831	0.89	0.28	0	Arl5a
0	1.04803741524652	0.931	0.264	0	Arl6
0	1.21027808274067	0.998	0.717	0	Arl6ip1
0	0.990672295268417	0.926	0.258	0	Arl6ip4
0	0.946891750808142	0.994	0.605	0	Arl6ip5
0	0.636852640308082	0.993	0.649	0	Arl8a
0	1.37676310487475	0.994	0.54	0	Arl8b
0	0.997599504933953	0.961	0.349	0	Armc1
0	0.740947419825879	0.966	0.435	0	Armc8
0	2.74969258927557	0.963	0.161	0	Armcx1
0	0.856311629846985	0.794	0.134	0	Armcx2
0	1.11521184880167	0.876	0.189	0	Armcx3
0	0.661497316896686	0.945	0.415	0	Arnt2
0	0.86504436369342	0.991	0.525	0	Arpc1a
0	0.342770413502136	0.997	0.722	0	Arpc2
0	1.02921809309037	0.996	0.62	0	Arpc3
0	0.482061451453329	0.993	0.619	0	Arpc4
0	1.5226836478064	0.996	0.526	0	Arpc5l
0	2.35313204750224	0.993	0.768	0	Arpp19
0	4.00387367308205	0.818	0.328	0	Arpp21
0	1.55754862713586	0.926	0.18	0	Arxes1
0	0.295556699453989	0.97	0.444	0	Arxes2
0	1.1001611266977	0.983	0.609	0	Asap1
0	1.04582766593602	0.886	0.24	0	Asb13
0	1.94814098385182	0.971	0.576	0	Asic2
0	1.16038960967242	0.977	0.376	0	Asna1
0	4.52246731888659	0.99	0.18	0	Asns
0	0.64766752692035	0.975	0.547	0	Asph
0	3.54850849177083	0.823	0.025	0	Asphd1
0	1.82906617342098	0.89	0.164	0	Asphd2
0	0.0525138719313407	0.974	0.474	0	Astn1
0	0.894405513787442	0.985	0.662	0	Atad1
0	4.82218158818504	0.993	0.18	0	Atcay
0	0.879257952519326	1	0.99	0	Atf2
0	1.01902162185726	0.993	0.594	0	Atf4
0	0.712094820416314	0.912	0.295	0	Atg101
0	0.708056724966871	0.952	0.351	0	Atg12
0	2.99951403380378	0.984	0.304	0	Atl1
0	1.72478423256107	0.858	0.138	0	Atmin
0	1.27496710364988	0.858	0.207	0	Atp13a2
0	-7.26098839132352	0.034	0.412	0	Atp13a4
0	2.80314245715773	0.996	0.552	0	Atp1a1
0	-8.56828195638028	0.206	0.814	0	Atp1a2
0	7.88105894310155	0.999	0.293	0	Atp1a3
0	3.75026396523271	0.999	0.721	0	Atp1b1
0	0.705485986424195	0.997	0.764	0	Atp2a2
0	2.21575497982369	0.995	0.613	0	Atp2b1
0	2.43398500142755	0.999	0.593	0	Atp2b2
0	4.32899364098065	0.868	0.069	0	Atp2b3
0	0.420998486694619	0.987	0.603	0	Atp2c1
0	1.19352837490328	1	0.923	0	Atp5a1
0	1.09560979085915	1	0.991	0	Atp5b
0	0.848980404378649	0.999	0.875	0	Atp5d
