Human gene	Ensembl ID	Protein domains	Contains canonical RBDs	Neuron enrichment (human)	Neuron enrichment (mouse)	Brain enrichment	Neuron developmental enrichment (early)	Neuron developmental enrichment (late)	pLI	Extreme pLI	High pLI	Medium pLI	Autism susceptibility	Intellectual disability susceptibility
A1BG	ENSG00000121410	Ig_sub2; Ig_sub; Ig-like_dom; Ig-like_fold; A1B_glyco/leuk_Ig-like_rcpt; Ig-like_dom_sf	0	-0.552815395912867	0.00261469162436007	0.328213611332186	0.006514958	-0.108343846	4.9917e-09	0	0	0	0	0
A1CF	ENSG00000148584	RRM_dom; HnRNP_R/Q_splicing_fac; Nucleotide-bd_a/b_plait_sf; ACF_RRM1; RBD_domain_sf; A1CF_DSRM	1	0.408637419386271	0.0240020325828149	-0.0128724629563537	0.002346078	-0.554819853	5.9218e-10	0	0	0	0	0
A2M	ENSG00000175899	Macroglobln_a2; MG2; Terpenoid_cyclase/PrenylTrfase; A-macroglobulin_rcpt-bd; TonB_box_CS; A2M_N_BRD; Alpha-macroglobulin_TED; Ig-like_fold; Ig_E-set; MacrogloblnA2_CS; A-macroglobulin_rcpt-bd_sf; MG4; MG3; A2M_TED	0	-3.23251756148607	-1.79605733997113	-2.33658208690282	0.000425468	0.749342963	4.5229e-11	0	0	0	0	0
A2ML1	ENSG00000166535	Macroglobln_a2; MG2; Terpenoid_cyclase/PrenylTrfase; A-macroglobulin_rcpt-bd; A2M_N_BRD; Alpha-macroglobulin_TED; Ig-like_fold; Ig_E-set; MacrogloblnA2_CS; A-macroglobulin_rcpt-bd_sf; MG4; MG3; A2M_TED	0	-0.448085185636315	-0.26384866756404	0.890175324561775	-0.0284620504712684	-0.0769070168466188	1.6109e-34	0	0	0	0	1
A3GALT2	ENSG00000184389	Glyco_trans_6; Nucleotide-diphossugar_trans	0	-0.320965284142147	-0.356347591625851	-0.117505092088696	-0.0284620504712684	-0.0769070168466188	1.2823e-10	0	0	0	0	0
A4GALT	ENSG00000128274	GlycoTrfase_DXD_sugar-bd_CS; A1-4-GlycosylTfrase_dom; Nucleotide-diphossugar_trans	0	-0.904535355937909	-4.21704202312124	-3.33502309931579	-0.0284620504712684	-0.0769070168466188	7.6668e-06	0	0	0	0	0
A4GNT	ENSG00000118017	GlycoTrfase_DXD_sugar-bd_CS; A1-4-GlycosylTfrase_dom; Nucleotide-diphossugar_trans	0	-0.320965284142147	0.387930551336258	-0.142524971304046	-0.0284620504712684	-0.0769070168466188	0.16537	0	0	0	0	0
AAAS	ENSG00000094914	WD40_repeat; WD40/YVTN_repeat-like_dom_sf; WD40_repeat_CS; Aladin	0	-0.725469359938317	-0.198395181636195	-1.28054343800033	-0.137010696	-0.582945491	2.4356e-13	0	0	0	0	1
AACS	ENSG00000081760	AMP-dep_Synth/Lig_com; Acac_CoA_synth; AMP-binding_CS; ACAS_N; ANL_N_sf; AMP-bd_C_sf	0	1.45590259903919	0.0394342236948839	-0.642277891441753	-0.436183708	-0.513517002	9.1275e-17	0	0	0	0	0
AADAC	ENSG00000114771	AB_hydrolase_3; Arylacetamide_deacetylase; AB_hydrolase; Lipase_GDXG_put_SER_AS	0	-0.320965284142147	0.00290614338373669	-0.200781164637069	-0.0284620504712684	-0.0769070168466188	0.0029108	0	0	0	0	0
