Ensembl ID	Human gene	Mouse gene	Gene description	Protein domains	Contains canonical RBDs	Neuron enrichment (human)	Neuron enrichment (mouse)	Brain enrichment	Neuron developmental enrichment (early)	Neuron developmental enrichment (late)	Protein expression (caudate/cerebral cortex/hippocampus)	pLI	Extreme pLI	High pLI	Medium pLI	Autism susceptibility	Intellectual disability susceptibility
ENSG00000270647	TAF15	Taf15	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa	RRM_dom; Znf_RanBP2; Nucleotide-bd_a/b_plait_sf; TET_fam; TAF15; RBD_domain_sf; Znf_RanBP2_sf;	1	-0.221148758	-0.389738853	-0.797942368	-0.066577917	-0.04114864	High, High, High	0.16517	0	0	0	0	0
ENSG00000244462	RBM12	Rbm12	RNA binding motif protein 12	RRM_dom; Nucleotide-bd_a/b_plait_sf; RBM12_RRM1; RBM12_RRM2; RBM12_RRM5; RBM12_RRM3; RBM12_RRM4; RBD_domain_sf	1	-0.366760262	-0.371056401	-1.412310175	0.014853998	-0.013918667	Low, Medium, Low	0.0021086	0	0	0	0	0
ENSG00000136231	IGF2BP3	Igf2bp3	insulin-like growth factor 2 mRNA binding protein 3	RRM_dom; KH_dom; KH_dom_type_1; Nucleotide-bd_a/b_plait_sf; IGF2BP3_RRM2; RBD_domain_sf; KH_dom_type_1_sf;	1	-0.269183647	0.385136629	-0.061707549	-0.324128067	-0.441799494	Not detected, Not detected, Not detected	0.99999	1	0	0	0	0
ENSG00000278619	MRM1	Mrm1	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)	SpoU_MeTrfase; rRNA_MeTrfase_TrmH; SpoU_subst-bd; tRNA_m1G_MTases_N; Alpha/beta_knot_MTases; L30e-like	0	0.348609873	0.631080618	-0.606655238	0.410884475	-0.188219748	Not detected, Not detected, Not detected	6.67e-06	0	0	0	0	0
ENSG00000102879	CORO1A	Coro1a	coronin, actin binding protein, 1A	WD40_repeat; DUF1899; Coronin; WD40/YVTN_repeat-like_dom_sf; WD40_repeat_dom; WD40_repeat_CS; CORO1A; WD40_repeat_dom_sf; Trimer_CC	0	-0.336832944	1.710935089	0.561075696	0.872215459	1.82479115	Not detected, Not detected, Not detected	0.97024	0	1	0	1	0
ENSG00000125351	UPF3B	Upf3b	UPF3 regulator of nonsense transcripts homolog B (yeast)	Upf3; UPF3_dom; Nucleotide-bd_a/b_plait_sf; UPF3B_RRM-like; RBD_domain_sf	0	-0.449777591	-0.134330576	-0.348804025	-0.097801628	0.070722375	Medium, Low, Low	0.98497	0	1	0	1	1
ENSG00000103550	C16orf88	NA	chromosome 16 open reading frame 88	SMAP_dom	0	-0.219374705105205	-0.00190286165509761	-0.798554224744701	-0.208247336	-0.840669702	Low, Medium, Low	0.480746042349629	0	0	0	0	0
ENSG00000181991	MRPS11	Mrps11	mitochondrial ribosomal protein S11	Ribosomal_S11; Ribosomal_S11_CS; Ribosomal_S11_sf	0	-0.123361173	0.596998951	-0.00022965	0.244001009	0.183633113	Low, Medium, Low	4.69e-08	0	0	0	0	0
ENSG00000158417	EIF5B	Eif5b	eukaryotic translation initiation factor 5B	TF_GTP-bd_dom; EFTu-like_2; Small_GTP-bd_dom; Transl_B-barrel_sf; TIF_IF2; TIF_IF2_dom3; P-loop_NTPase; TIF_IF2_dom3_sf	0	-0.219374705105205	0.238108941	-0.564913282	0.241131228	0.050146143	Medium, Low, Medium	0.99981	1	0	0	0	0
ENSG00000187191	DAZ3	NA	deleted in azoospermia 3	RRM_dom; Nucleotide-bd_a/b_plait_sf; DAZ1-4; RBD_domain_sf; BOULE/DAZ; DAZ_RRM_vert; DAZ_repeat	1	-0.219374705105205	-0.00190286165509761	0	0.0549386088409786	-0.198750741739042	Not detected, Not detected, Not detected	0.480746042349629	0	0	0	0	0
